campaign_id,objective,target_audience,active_message,channel
CAM068,Increase weekday lunch traffic,Campus students between afternoon classes,Turn a busy noon hour into a convenient meal with flexible choices. Use the message link to view the current offer.,Email
CAM069,Increase weekday lunch traffic,Campus students between afternoon classes,Make lunch simple with a satisfying meal designed for a short break. Open the menu to customise and place your order.,Website/App
CAM070,Increase weekday lunch traffic,Campus students between afternoon classes,Get a complete weekday lunch without spending your whole break in a queue. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM071,Increase weekday lunch traffic,Business-park employees ordering in groups,Choose a practical lunch set that is easy to order and easy to enjoy. See today's options in our latest post.,Instagram
CAM072,Increase weekday lunch traffic,Business-park employees ordering in groups,Turn a busy noon hour into a convenient meal with flexible choices. Check the current offer and plan your next meal.,Facebook
CAM073,Increase weekday lunch traffic,Business-park employees ordering in groups,Make lunch simple with a satisfying meal designed for a short break. Use the message link to view the current offer.,Email
CAM074,Increase weekday lunch traffic,Business-park employees ordering in groups,Get a complete weekday lunch without spending your whole break in a queue. Open the menu to customise and place your order.,Website/App
CAM075,Increase weekday lunch traffic,Business-park employees ordering in groups,Choose a practical lunch set that is easy to order and easy to enjoy. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM076,Increase weekday lunch traffic,Hybrid workers looking for a quick weekday lunch,Turn a busy noon hour into a convenient meal with flexible choices. See today's options in our latest post.,Instagram
CAM077,Increase weekday lunch traffic,Hybrid workers looking for a quick weekday lunch,Make lunch simple with a satisfying meal designed for a short break. Check the current offer and plan your next meal.,Facebook
CAM078,Increase weekday lunch traffic,Hybrid workers looking for a quick weekday lunch,Get a complete weekday lunch without spending your whole break in a queue. Use the message link to view the current offer.,Email
CAM079,Increase weekday lunch traffic,Hybrid workers looking for a quick weekday lunch,Choose a practical lunch set that is easy to order and easy to enjoy. Open the menu to customise and place your order.,Website/App
CAM080,Increase weekday lunch traffic,Hybrid workers looking for a quick weekday lunch,Turn a busy noon hour into a convenient meal with flexible choices. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM081,Increase dinner orders,Young professionals finishing work after 6pm,Make weeknight dinner easier with a comforting meal ready when you need it. See today's options in our latest post.,Instagram
CAM082,Increase dinner orders,Young professionals finishing work after 6pm,Skip meal prep tonight and choose a convenient dinner with familiar flavours. Watch the short menu feature and choose your next order.,TikTok
CAM083,Increase dinner orders,Young professionals finishing work after 6pm,Wind down with a satisfying dinner that does not require cooking or cleanup. Check the current offer and plan your next meal.,Facebook
CAM084,Increase dinner orders,Young professionals finishing work after 6pm,Solve the evening meal quickly with flexible choices for different appetites. Open the menu to customise and place your order.,Website/App
CAM085,Increase dinner orders,Young professionals finishing work after 6pm,Make weeknight dinner easier with a comforting meal ready when you need it. Find the current bundle in the delivery menu.,Delivery App
CAM086,Increase dinner orders,Couples seeking an easy weeknight dinner,Skip meal prep tonight and choose a convenient dinner with familiar flavours. See today's options in our latest post.,Instagram
CAM087,Increase dinner orders,Couples seeking an easy weeknight dinner,Wind down with a satisfying dinner that does not require cooking or cleanup. Watch the short menu feature and choose your next order.,TikTok
CAM088,Increase dinner orders,Couples seeking an easy weeknight dinner,Solve the evening meal quickly with flexible choices for different appetites. Check the current offer and plan your next meal.,Facebook
CAM089,Increase dinner orders,Couples seeking an easy weeknight dinner,Make weeknight dinner easier with a comforting meal ready when you need it. Open the menu to customise and place your order.,Website/App
CAM090,Increase dinner orders,Couples seeking an easy weeknight dinner,Skip meal prep tonight and choose a convenient dinner with familiar flavours. Find the current bundle in the delivery menu.,Delivery App
CAM091,Increase dinner orders,Students studying late on campus,Wind down with a satisfying dinner that does not require cooking or cleanup. See today's options in our latest post.,Instagram
CAM092,Increase dinner orders,Students studying late on campus,Solve the evening meal quickly with flexible choices for different appetites. Watch the short menu feature and choose your next order.,TikTok
CAM093,Increase dinner orders,Students studying late on campus,Make weeknight dinner easier with a comforting meal ready when you need it. Check the current offer and plan your next meal.,Facebook
CAM094,Increase dinner orders,Students studying late on campus,Skip meal prep tonight and choose a convenient dinner with familiar flavours. Open the menu to customise and place your order.,Website/App
CAM095,Increase dinner orders,Students studying late on campus,Wind down with a satisfying dinner that does not require cooking or cleanup. Find the current bundle in the delivery menu.,Delivery App
CAM096,Increase dinner orders,Households looking for a no-cook dinner option,Solve the evening meal quickly with flexible choices for different appetites. See today's options in our latest post.,Instagram
CAM097,Increase dinner orders,Households looking for a no-cook dinner option,Make weeknight dinner easier with a comforting meal ready when you need it. Watch the short menu feature and choose your next order.,TikTok
CAM098,Increase dinner orders,Households looking for a no-cook dinner option,Skip meal prep tonight and choose a convenient dinner with familiar flavours. Check the current offer and plan your next meal.,Facebook
CAM099,Increase dinner orders,Households looking for a no-cook dinner option,Wind down with a satisfying dinner that does not require cooking or cleanup. Open the menu to customise and place your order.,Website/App
CAM100,Increase dinner orders,Households looking for a no-cook dinner option,Solve the evening meal quickly with flexible choices for different appetites. Find the current bundle in the delivery menu.,Delivery App
CAM101,Boost weekend footfall,Families planning casual weekend meals,Make your weekend catch-up easier with shareable favourites and flexible choices. See today's options in our latest post.,Instagram
CAM102,Boost weekend footfall,Families planning casual weekend meals,Turn a casual weekend outing into a simple meal everyone can enjoy. Watch the short menu feature and choose your next order.,TikTok
CAM103,Boost weekend footfall,Families planning casual weekend meals,Bring the group together over an easy meal with options for different tastes. Check the current offer and plan your next meal.,Facebook
CAM104,Boost weekend footfall,Families planning casual weekend meals,Add a convenient food stop to your weekend plans without overthinking the menu. Open the menu to customise and place your order.,Website/App
CAM105,Boost weekend footfall,Families planning casual weekend meals,Make your weekend catch-up easier with shareable favourites and flexible choices. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM106,Boost weekend footfall,Friend groups meeting for lunch,Turn a casual weekend outing into a simple meal everyone can enjoy. See today's options in our latest post.,Instagram
CAM107,Boost weekend footfall,Friend groups meeting for lunch,Bring the group together over an easy meal with options for different tastes. Watch the short menu feature and choose your next order.,TikTok
CAM108,Boost weekend footfall,Friend groups meeting for lunch,Add a convenient food stop to your weekend plans without overthinking the menu. Check the current offer and plan your next meal.,Facebook
CAM109,Boost weekend footfall,Friend groups meeting for lunch,Make your weekend catch-up easier with shareable favourites and flexible choices. Open the menu to customise and place your order.,Website/App
CAM110,Boost weekend footfall,Friend groups meeting for lunch,Turn a casual weekend outing into a simple meal everyone can enjoy. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM111,Boost weekend footfall,Young adults spending weekends near malls,Bring the group together over an easy meal with options for different tastes. See today's options in our latest post.,Instagram
CAM112,Boost weekend footfall,Young adults spending weekends near malls,Add a convenient food stop to your weekend plans without overthinking the menu. Watch the short menu feature and choose your next order.,TikTok
CAM113,Boost weekend footfall,Young adults spending weekends near malls,Make your weekend catch-up easier with shareable favourites and flexible choices. Check the current offer and plan your next meal.,Facebook
CAM114,Boost weekend footfall,Young adults spending weekends near malls,Turn a casual weekend outing into a simple meal everyone can enjoy. Open the menu to customise and place your order.,Website/App
CAM115,Boost weekend footfall,Young adults spending weekends near malls,Bring the group together over an easy meal with options for different tastes. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM116,Boost weekend footfall,Couples looking for a relaxed weekend meal,Add a convenient food stop to your weekend plans without overthinking the menu. See today's options in our latest post.,Instagram
CAM117,Boost weekend footfall,Couples looking for a relaxed weekend meal,Make your weekend catch-up easier with shareable favourites and flexible choices. Watch the short menu feature and choose your next order.,TikTok
CAM118,Boost weekend footfall,Couples looking for a relaxed weekend meal,Turn a casual weekend outing into a simple meal everyone can enjoy. Check the current offer and plan your next meal.,Facebook
CAM119,Boost weekend footfall,Couples looking for a relaxed weekend meal,Bring the group together over an easy meal with options for different tastes. Open the menu to customise and place your order.,Website/App
CAM120,Boost weekend footfall,Couples looking for a relaxed weekend meal,Add a convenient food stop to your weekend plans without overthinking the menu. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM121,Increase delivery orders,Residents within a short delivery radius,Get a satisfying meal delivered when leaving home is inconvenient. See today's options in our latest post.,Instagram
CAM122,Increase delivery orders,Residents within a short delivery radius,Bring your usual favourites to your door with a simple delivery order. Check the current offer and plan your next meal.,Facebook
CAM123,Increase delivery orders,Residents within a short delivery radius,Choose an easy delivery option for evenings when cooking does not fit the schedule. Use the message link to view the current offer.,Email
CAM124,Increase delivery orders,Residents within a short delivery radius,Order from home and enjoy a complete meal with less effort. Open the menu to customise and place your order.,Website/App
CAM125,Increase delivery orders,Residents within a short delivery radius,Get a satisfying meal delivered when leaving home is inconvenient. Find the current bundle in the delivery menu.,Delivery App
CAM126,Increase delivery orders,Late-working professionals ordering dinner,Bring your usual favourites to your door with a simple delivery order. See today's options in our latest post.,Instagram
CAM127,Increase delivery orders,Late-working professionals ordering dinner,Choose an easy delivery option for evenings when cooking does not fit the schedule. Check the current offer and plan your next meal.,Facebook
CAM128,Increase delivery orders,Late-working professionals ordering dinner,Order from home and enjoy a complete meal with less effort. Use the message link to view the current offer.,Email
CAM129,Increase delivery orders,Late-working professionals ordering dinner,Get a satisfying meal delivered when leaving home is inconvenient. Open the menu to customise and place your order.,Website/App
CAM130,Increase delivery orders,Late-working professionals ordering dinner,Bring your usual favourites to your door with a simple delivery order. Find the current bundle in the delivery menu.,Delivery App
CAM131,Increase delivery orders,Students ordering meals to residence halls,Choose an easy delivery option for evenings when cooking does not fit the schedule. See today's options in our latest post.,Instagram
CAM132,Increase delivery orders,Students ordering meals to residence halls,Order from home and enjoy a complete meal with less effort. Check the current offer and plan your next meal.,Facebook
CAM133,Increase delivery orders,Students ordering meals to residence halls,Get a satisfying meal delivered when leaving home is inconvenient. Use the message link to view the current offer.,Email
CAM134,Increase delivery orders,Students ordering meals to residence halls,Bring your usual favourites to your door with a simple delivery order. Open the menu to customise and place your order.,Website/App
CAM135,Increase delivery orders,Students ordering meals to residence halls,Choose an easy delivery option for evenings when cooking does not fit the schedule. Find the current bundle in the delivery menu.,Delivery App
CAM136,Increase delivery orders,Families ordering food on busy evenings,Order from home and enjoy a complete meal with less effort. See today's options in our latest post.,Instagram
CAM137,Increase delivery orders,Families ordering food on busy evenings,Get a satisfying meal delivered when leaving home is inconvenient. Check the current offer and plan your next meal.,Facebook
CAM138,Increase delivery orders,Families ordering food on busy evenings,Bring your usual favourites to your door with a simple delivery order. Use the message link to view the current offer.,Email
CAM139,Increase delivery orders,Families ordering food on busy evenings,Choose an easy delivery option for evenings when cooking does not fit the schedule. Open the menu to customise and place your order.,Website/App
CAM140,Increase delivery orders,Families ordering food on busy evenings,Order from home and enjoy a complete meal with less effort. Find the current bundle in the delivery menu.,Delivery App
CAM141,Increase click-and-collect adoption,Office workers collecting lunch on the way back to work,Order ahead and collect when it suits you for a smoother takeaway experience. See today's options in our latest post.,Instagram
CAM142,Increase click-and-collect adoption,Office workers collecting lunch on the way back to work,Reduce waiting by placing your order before you arrive. Use the message link to view the current offer.,Email
CAM143,Increase click-and-collect adoption,Office workers collecting lunch on the way back to work,Use click-and-collect to make a busy meal break more predictable. Open the menu to customise and place your order.,Website/App
CAM144,Increase click-and-collect adoption,Office workers collecting lunch on the way back to work,Plan your pickup in advance and spend less time waiting at the counter. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM145,Increase click-and-collect adoption,Office workers collecting lunch on the way back to work,Order ahead and collect when it suits you for a smoother takeaway experience. Check the current offer and plan your next meal.,Facebook
CAM146,Increase click-and-collect adoption,Commuters picking up dinner after work,Reduce waiting by placing your order before you arrive. See today's options in our latest post.,Instagram
CAM147,Increase click-and-collect adoption,Commuters picking up dinner after work,Use click-and-collect to make a busy meal break more predictable. Use the message link to view the current offer.,Email
CAM148,Increase click-and-collect adoption,Commuters picking up dinner after work,Plan your pickup in advance and spend less time waiting at the counter. Open the menu to customise and place your order.,Website/App
CAM149,Increase click-and-collect adoption,Commuters picking up dinner after work,Order ahead and collect when it suits you for a smoother takeaway experience. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM150,Increase click-and-collect adoption,Commuters picking up dinner after work,Reduce waiting by placing your order before you arrive. Check the current offer and plan your next meal.,Facebook
CAM151,Increase click-and-collect adoption,Students collecting meals between classes,Use click-and-collect to make a busy meal break more predictable. See today's options in our latest post.,Instagram
CAM152,Increase click-and-collect adoption,Students collecting meals between classes,Plan your pickup in advance and spend less time waiting at the counter. Use the message link to view the current offer.,Email
CAM153,Increase click-and-collect adoption,Students collecting meals between classes,Order ahead and collect when it suits you for a smoother takeaway experience. Open the menu to customise and place your order.,Website/App
CAM154,Increase click-and-collect adoption,Students collecting meals between classes,Reduce waiting by placing your order before you arrive. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM155,Increase click-and-collect adoption,Students collecting meals between classes,Use click-and-collect to make a busy meal break more predictable. Check the current offer and plan your next meal.,Facebook
CAM156,Increase click-and-collect adoption,Regular takeaway customers,Plan your pickup in advance and spend less time waiting at the counter. See today's options in our latest post.,Instagram
CAM157,Increase click-and-collect adoption,Regular takeaway customers,Order ahead and collect when it suits you for a smoother takeaway experience. Use the message link to view the current offer.,Email
CAM158,Increase click-and-collect adoption,Regular takeaway customers,Reduce waiting by placing your order before you arrive. Open the menu to customise and place your order.,Website/App
CAM159,Increase click-and-collect adoption,Regular takeaway customers,Use click-and-collect to make a busy meal break more predictable. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM160,Increase click-and-collect adoption,Regular takeaway customers,Plan your pickup in advance and spend less time waiting at the counter. Check the current offer and plan your next meal.,Facebook
CAM161,Increase repeat purchases,Customers who purchased within the last 30 days,Come back for another easy meal and rediscover the choices you enjoyed. See today's options in our latest post.,Instagram
CAM162,Increase repeat purchases,Customers who purchased within the last 30 days,Make us part of your regular routine with dependable favourites and flexible options. Check the current offer and plan your next meal.,Facebook
CAM163,Increase repeat purchases,Customers who purchased within the last 30 days,Return this week for a familiar meal that is simple to order again. Use the message link to view the current offer.,Email
CAM164,Increase repeat purchases,Customers who purchased within the last 30 days,Keep your next meal easy with a menu built for repeat visits and everyday convenience. Open the menu to customise and place your order.,Website/App
CAM165,Increase repeat purchases,Customers who purchased within the last 30 days,Come back for another easy meal and rediscover the choices you enjoyed. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM166,Increase repeat purchases,Occasional customers with two recent orders,Make us part of your regular routine with dependable favourites and flexible options. See today's options in our latest post.,Instagram
CAM167,Increase repeat purchases,Occasional customers with two recent orders,Return this week for a familiar meal that is simple to order again. Check the current offer and plan your next meal.,Facebook
CAM168,Increase repeat purchases,Occasional customers with two recent orders,Keep your next meal easy with a menu built for repeat visits and everyday convenience. Use the message link to view the current offer.,Email
CAM169,Increase repeat purchases,Occasional customers with two recent orders,Come back for another easy meal and rediscover the choices you enjoyed. Open the menu to customise and place your order.,Website/App
CAM170,Increase repeat purchases,Occasional customers with two recent orders,Make us part of your regular routine with dependable favourites and flexible options. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM171,Increase repeat purchases,Existing lunch customers near the outlet,Return this week for a familiar meal that is simple to order again. See today's options in our latest post.,Instagram
CAM172,Increase repeat purchases,Existing lunch customers near the outlet,Keep your next meal easy with a menu built for repeat visits and everyday convenience. Check the current offer and plan your next meal.,Facebook
CAM173,Increase repeat purchases,Existing lunch customers near the outlet,Come back for another easy meal and rediscover the choices you enjoyed. Use the message link to view the current offer.,Email
CAM174,Increase repeat purchases,Existing lunch customers near the outlet,Make us part of your regular routine with dependable favourites and flexible options. Open the menu to customise and place your order.,Website/App
CAM175,Increase repeat purchases,Existing lunch customers near the outlet,Return this week for a familiar meal that is simple to order again. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM176,Increase repeat purchases,Customers who tried a seasonal item recently,Keep your next meal easy with a menu built for repeat visits and everyday convenience. See today's options in our latest post.,Instagram
CAM177,Increase repeat purchases,Customers who tried a seasonal item recently,Come back for another easy meal and rediscover the choices you enjoyed. Check the current offer and plan your next meal.,Facebook
CAM178,Increase repeat purchases,Customers who tried a seasonal item recently,Make us part of your regular routine with dependable favourites and flexible options. Use the message link to view the current offer.,Email
CAM179,Increase repeat purchases,Customers who tried a seasonal item recently,Return this week for a familiar meal that is simple to order again. Open the menu to customise and place your order.,Website/App
CAM180,Increase repeat purchases,Customers who tried a seasonal item recently,Keep your next meal easy with a menu built for repeat visits and everyday convenience. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM181,Increase loyalty programme sign-ups,Frequent dine-in customers,Join the rewards programme and make each repeat visit count. See today's options in our latest post.,Instagram
CAM182,Increase loyalty programme sign-ups,Frequent dine-in customers,Earn points on everyday purchases and unlock member-only benefits over time. Use the message link to view the current offer.,Email
CAM183,Increase loyalty programme sign-ups,Frequent dine-in customers,Turn regular meals into rewards with a quick membership sign-up. Open the menu to customise and place your order.,Website/App
CAM184,Increase loyalty programme sign-ups,Frequent dine-in customers,Get more value from future visits by joining the loyalty programme today. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM185,Increase loyalty programme sign-ups,Frequent dine-in customers,Join the rewards programme and make each repeat visit count. Check the current offer and plan your next meal.,Facebook
CAM186,Increase loyalty programme sign-ups,Regular delivery customers,Earn points on everyday purchases and unlock member-only benefits over time. See today's options in our latest post.,Instagram
CAM187,Increase loyalty programme sign-ups,Regular delivery customers,Turn regular meals into rewards with a quick membership sign-up. Use the message link to view the current offer.,Email
CAM188,Increase loyalty programme sign-ups,Regular delivery customers,Get more value from future visits by joining the loyalty programme today. Open the menu to customise and place your order.,Website/App
CAM189,Increase loyalty programme sign-ups,Regular delivery customers,Join the rewards programme and make each repeat visit count. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM190,Increase loyalty programme sign-ups,Regular delivery customers,Earn points on everyday purchases and unlock member-only benefits over time. Check the current offer and plan your next meal.,Facebook
CAM191,Increase loyalty programme sign-ups,Customers purchasing at least twice a month,Turn regular meals into rewards with a quick membership sign-up. See today's options in our latest post.,Instagram
CAM192,Increase loyalty programme sign-ups,Customers purchasing at least twice a month,Get more value from future visits by joining the loyalty programme today. Use the message link to view the current offer.,Email
CAM193,Increase loyalty programme sign-ups,Customers purchasing at least twice a month,Join the rewards programme and make each repeat visit count. Open the menu to customise and place your order.,Website/App
CAM194,Increase loyalty programme sign-ups,Customers purchasing at least twice a month,Earn points on everyday purchases and unlock member-only benefits over time. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM195,Increase loyalty programme sign-ups,Customers purchasing at least twice a month,Turn regular meals into rewards with a quick membership sign-up. Check the current offer and plan your next meal.,Facebook
CAM196,Increase loyalty programme sign-ups,New customers likely to return,Get more value from future visits by joining the loyalty programme today. See today's options in our latest post.,Instagram
CAM197,Increase loyalty programme sign-ups,New customers likely to return,Join the rewards programme and make each repeat visit count. Use the message link to view the current offer.,Email
CAM198,Increase loyalty programme sign-ups,New customers likely to return,Earn points on everyday purchases and unlock member-only benefits over time. Open the menu to customise and place your order.,Website/App
CAM199,Increase loyalty programme sign-ups,New customers likely to return,Turn regular meals into rewards with a quick membership sign-up. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM200,Increase loyalty programme sign-ups,New customers likely to return,Get more value from future visits by joining the loyalty programme today. Check the current offer and plan your next meal.,Facebook
